Decimal,Fraction,Pitch,Series,Class,FractionCallout,DecimalCallout,Allowance,MajorMax,MajorMin,MajorMinE,PitchMax,PitchMin,MinorMax,MinorMin
0.060,0,80,UNF,2A,0-80 UNF 2A,.060-80 UNF 2A,0.0005,0.0595,0.0563,-,0.0514,0.0496,0.0446,-
0.060,0,80,UNF,2B,0-80 UNF 2B,.060-80 UNF 2B,-,-,0.0600,-,0.0542,0.0519,0.0514,0.0465
0.060,0,80,UNF,3A,0-80 UNF 3A,.060-80 UNF 3A,0,0.0600,0.0568,-,0.0519,0.0506,0.0451,-
0.060,0,80,UNF,3B,0-80 UNF 3B,.060-80 UNF 3B,-,-,0.0600,-,0.0536,0.0519,0.0514,0.0465
0.073,1,64,UNC,2A,1-64 UNC 2A,.073-64 UNC 2A,0.0006,0.0724,0.0686,-,0.0623,0.0603,0.0538,-
0.073,1,64,UNC,2B,1-64 UNC 2B,.073-64 UNC 2B,-,-,0.0730,-,0.0655,0.0629,0.0623,0.0561
0.073,1,64,UNC,3A,1-64 UNC 3A,.073-64 UNC 3A,0,0.0730,0.0692,-,0.0629,0.0614,0.0544,-
0.073,1,64,UNC,3B,1-64 UNC 3B,.073-64 UNC 3B,-,-,0.0730,-,0.0648,0.0629,0.0623,0.0561
0.073,1,72,UNF,2A,1-72 UNF 2A,.073-72 UNF 2A,0.0006,0.0724,0.0689,-,0.0634,0.0615,0.0559,-
0.073,1,72,UNF,2B,1-72 UNF 2B,.073-72 UNF 2B,-,-,0.0730,-,0.0665,0.0640,0.0635,0.0580
0.073,1,72,UNF,3A,1-72 UNF 3A,.073-72 UNF 3A,0,0.0730,0.0695,-,0.0640,0.0626,0.0565,-
0.073,1,72,UNF,3B,1-72 UNF 3B,.073-72 UNF 3B,-,-,0.0730,-,0.0659,0.0640,0.0635,0.0580
0.086,2,56,UNC,2A,2-56 UNC 2A,.086-56 UNC 2A,0.0006,0.0854,0.0813,-,0.0738,0.0717,0.0642,-
0.086,2,56,UNC,2B,2-56 UNC 2B,.086-56 UNC 2B,-,-,0.0860,-,0.0772,0.0744,0.0737,0.0667
0.086,2,56,UNC,3A,2-56 UNC 3A,.086-56 UNC 3A,0,0.0860,0.0819,-,0.0744,0.0728,0.0648,-
0.086,2,56,UNC,3B,2-56 UNC 3B,.086-56 UNC 3B,-,-,0.0860,-,0.0765,0.0744,0.0737,0.0667
0.086,2,64,UNF,2A,2-64 UNF 2A,.086-64 UNF 2A,0.0006,0.0854,0.0816,-,0.0753,0.0733,0.0668,-
0.086,2,64,UNF,2B,2-64 UNF 2B,.086-64 UNF 2B,-,-,0.0860,-,0.0786,0.0759,0.0753,0.0691
0.086,2,64,UNF,3A,2-64 UNF 3A,.086-64 UNF 3A,0,0.0860,0.0822,-,0.0759,0.0744,0.0674,-
0.086,2,64,UNF,3B,2-64 UNF 3B,.086-64 UNF 3B,-,-,0.0860,-,0.0779,0.0759,0.0753,0.0691
0.099,3,48,UNC,2A,3-48 UNC 2A,.099-48 UNC 2A,0.0007,0.0983,0.0938,-,0.0848,0.0825,0.0734,-
0.099,3,48,UNC,2B,3-48 UNC 2B,.099-48 UNC 2B,-,-,0.0990,-,0.0885,0.0855,0.0845,0.0764
0.099,3,48,UNC,3A,3-48 UNC 3A,.099-48 UNC 3A,0,0.0990,0.0945,-,0.0855,0.0838,0.0741,-
0.099,3,48,UNC,3B,3-48 UNC 3B,.099-48 UNC 3B,-,-,0.0990,-,0.0877,0.0855,0.0845,0.0764
0.099,3,56,UNF,2A,3-56 UNF 2A,.099-56 UNF 2A,0.0007,0.0983,0.0942,-,0.0867,0.0845,0.0771,-
0.099,3,56,UNF,2B,3-56 UNF 2B,.099-56 UNF 2B,-,-,0.0990,-,0.0902,0.0874,0.0865,0.0797
0.099,3,56,UNF,3A,3-56 UNF 3A,.099-56 UNF 3A,0,0.0990,0.0949,-,0.0874,0.0858,0.0778,-
0.099,3,56,UNF,3B,3-56 UNF 3B,.099-56 UNF 3B,-,-,0.0990,-,0.0895,0.0874,0.0865,0.0797
0.112,4,40,UNC,2A,4-40 UNC 2A,.112-40 UNC 2A,0.0008,0.1112,0.1061,-,0.0950,0.0925,0.0814,-
0.112,4,40,UNC,2B,4-40 UNC 2B,.112-40 UNC 2B,-,-,0.1120,-,0.0991,0.0958,0.0939,0.0849
0.112,4,40,UNC,3A,4-40 UNC 3A,.112-40 UNC 3A,0,0.1120,0.1069,-,0.0958,0.0939,0.0822,-
0.112,4,40,UNC,3B,4-40 UNC 3B,.112-40 UNC 3B,-,-,0.1120,-,0.0982,0.0958,0.0939,0.0849
0.112,4,48,UNF,2A,4-48 UNF 2A,.112-48 UNF 2A,0.0007,0.1113,0.1068,-,0.0978,0.0954,0.0864,-
0.112,4,48,UNF,2B,4-48 UNF 2B,.112-48 UNF 2B,-,-,0.1120,-,0.1016,0.0985,0.0968,0.0894
0.112,4,48,UNF,3A,4-48 UNF 3A,.112-48 UNF 3A,0,0.1120,0.1075,-,0.0985,0.0967,0.0871,-
0.112,4,48,UNF,3B,4-48 UNF 3B,.112-48 UNF 3B,-,-,0.1120,-,0.1008,0.0985,0.0968,0.0894
0.125,5,40,UNC,2A,5-40 UNC 2A,.125-40 UNC 2A,0.0008,0.1242,0.1191,-,0.1080,0.1054,0.0944,-
0.125,5,40,UNC,2B,5-40 UNC 2B,.125-40 UNC 2B,-,-,0.1250,-,0.1121,0.1088,0.1062,0.0979
0.125,5,40,UNC,3A,5-40 UNC 3A,.125-40 UNC 3A,0,0.1250,0.1199,-,0.1088,0.1069,0.0952,-
0.125,5,40,UNC,3B,5-40 UNC 3B,.125-40 UNC 3B,-,-,0.1250,-,0.1113,0.1088,0.1062,0.0979
0.125,5,44,UNF,2A,5-44 UNF 2A,.125-44 UNF 2A,0.0007,0.1243,0.1195,-,0.1095,0.1070,0.0972,-
0.125,5,44,UNF,2B,5-44 UNF 2B,.125-44 UNF 2B,-,-,0.1250,-,0.1134,0.1102,0.1079,0.1004
0.125,5,44,UNF,3A,5-44 UNF 3A,.125-44 UNF 3A,0,0.1250,0.1202,-,0.1102,0.1083,0.0979,-
0.125,5,44,UNF,3B,5-44 UNF 3B,.125-44 UNF 3B,-,-,0.1250,-,0.1126,0.1102,0.1079,0.1004
0.138,6,32,UNC,2A,6-32 UNC 2A,.138-32 UNC 2A,0.0008,0.1372,0.1312,-,0.1169,0.1141,0.1000,-
0.138,6,32,UNC,2B,6-32 UNC 2B,.138-32 UNC 2B,-,-,0.1380,-,0.1214,0.1177,0.1140,0.1040
0.138,6,32,UNC,3A,6-32 UNC 3A,.138-32 UNC 3A,0,0.1380,0.1320,-,0.1177,0.1156,0.1008,-
0.138,6,32,UNC,3B,6-32 UNC 3B,.138-32 UNC 3B,-,-,0.1380,-,0.1204,0.1177,0.1140,0.1040
0.138,6,40,UNF,2A,6-40 UNF 2A,.138-40 UNF 2A,0.0008,0.1372,0.1321,-,0.1210,0.1184,0.1074,-
0.138,6,40,UNF,2B,6-40 UNF 2B,.138-40 UNF 2B,-,-,0.1380,-,0.1252,0.1218,0.1190,0.1110
0.138,6,40,UNF,3A,6-40 UNF 3A,.138-40 UNF 3A,0,0.1380,0.1329,-,0.1218,0.1198,0.1082,-
0.138,6,40,UNF,3B,6-40 UNF 3B,.138-40 UNF 3B,-,-,0.1380,-,0.1243,0.1218,0.1186,0.1110
0.164,8,32,UNC,2A,8-32 UNC 2A,.164-32 UNC 2A,0.0009,0.1631,0.1571,-,0.1428,0.1399,0.1259,-
0.164,8,32,UNC,2B,8-32 UNC 2B,.164-32 UNC 2B,-,-,0.1640,-,0.1475,0.1437,0.1390,0.1300
0.164,8,32,UNC,3A,8-32 UNC 3A,.164-32 UNC 3A,0,0.1640,0.1580,-,0.1437,0.1415,0.1268,-
0.164,8,32,UNC,3B,8-32 UNC 3B,.164-32 UNC 3B,-,-,0.1640,-,0.1465,0.1437,0.1389,0.1300
0.164,8,36,UNF,2A,8-36 UNF 2A,.164-36 UNF 2A,0.0008,0.1632,0.1577,-,0.1452,0.1424,0.1301,-
0.164,8,36,UNF,2B,8-36 UNF 2B,.164-36 UNF 2B,-,-,0.1640,-,0.1496,0.1460,0.1420,0.1340
0.164,8,36,UNF,3A,8-36 UNF 3A,.164-36 UNF 3A,0,0.1640,0.1585,-,0.1460,0.1439,0.1309,-
0.164,8,36,UNF,3B,8-36 UNF 3B,.164-36 UNF 3B,-,-,0.1640,-,0.1487,0.1460,0.1416,0.1340
0.190,10,24,UNC,2A,10-24 UNC 2A,.190-24 UNC 2A,0.001,0.1890,0.1818,-,0.1619,0.1586,0.1394,-
0.190,10,24,UNC,2B,10-24 UNC 2B,.190-24 UNC 2B,-,-,0.1900,-,0.1672,0.1629,0.1560,0.1450
0.190,10,24,UNC,3A,10-24 UNC 3A,.190-24 UNC 3A,0,0.1900,0.1828,-,0.1629,0.1604,0.1404,-
0.190,10,24,UNC,3B,10-24 UNC 3B,.190-24 UNC 3B,-,-,0.1900,-,0.1661,0.1629,0.1555,0.1450
0.190,10,28,UNS,2A,10-28 UNS 2A,.190-28 UNS 2A,0.001,0.1890,0.1825,-,0.1658,0.1625,0.1464,-
0.190,10,28,UNS,2B,10-28 UNS 2B,.190-28 UNS 2B,-,-,0.1900,-,0.1711,0.1668,0.1600,0.1510
0.190,10,32,UNF,2A,10-32 UNF 2A,.190-32 UNF 2A,0.0009,0.1891,0.1831,-,0.1688,0.1658,0.1519,-
0.190,10,32,UNF,2B,10-32 UNF 2B,.190-32 UNF 2B,-,-,0.1900,-,0.1736,0.1697,0.1640,0.1560
0.190,10,32,UNF,3A,10-32 UNF 3A,.190-32 UNF 3A,0,0.1900,0.1840,-,0.1697,0.1674,0.1528,-
0.190,10,32,UNF,3B,10-32 UNF 3B,.190-32 UNF 3B,-,-,0.1900,-,0.1726,0.1697,0.1641,0.1560
0.190,10,36,UNS,2A,10-36 UNS 2A,.190-36 UNS 2A,0.0009,0.1891,0.1836,-,0.1711,0.1681,0.1560,-
0.190,10,36,UNS,2B,10-36 UNS 2B,.190-36 UNS 2B,-,-,0.1900,-,0.1759,0.1720,0.1660,0.1600
0.190,10,40,UNS,2A,10-40 UNS 2A,.190-40 UNS 2A,0.0009,0.1891,0.1840,-,0.1729,0.1700,0.1592,-
0.190,10,40,UNS,2B,10-40 UNS 2B,.190-40 UNS 2B,-,-,0.1900,-,0.1775,0.1738,0.1690,0.1630
0.190,10,48,UNS,2A,10-48 UNS 2A,.190-48 UNS 2A,0.0008,0.1892,0.1847,-,0.1757,0.1731,0.1644,-
0.190,10,48,UNS,2B,10-48 UNS 2B,.190-48 UNS 2B,-,-,0.1900,-,0.1799,0.1765,0.1720,0.1670
0.190,10,56,UNS,2A,10-56 UNS 2A,.190-56 UNS 2A,0.0007,0.1893,0.1852,-,0.1777,0.1752,0.1681,-
0.190,10,56,UNS,2B,10-56 UNS 2B,.190-56 UNS 2B,-,-,0.1900,-,0.1816,0.1784,0.1750,0.1710
0.216,12,24,UNC,2A,12-24 UNC 2A,.216-24 UNC 2A,0.001,0.2150,0.2078,-,0.1879,0.1845,0.1654,-
0.216,12,24,UNC,2B,12-24 UNC 2B,.216-24 UNC 2B,-,-,0.2160,-,0.1933,0.1889,0.1810,0.1710
0.216,12,24,UNC,3A,12-24 UNC 3A,.216-24 UNC 3A,0,0.2160,0.2088,-,0.1889,0.1863,0.1664,-
0.216,12,24,UNC,3B,12-24 UNC 3B,.216-24 UNC 3B,-,-,0.2160,-,0.1922,0.1889,0.1807,0.1710
0.216,12,28,UNF,2A,12-28 UNF 2A,.216-28 UNF 2A,0.001,0.2150,0.2085,-,0.1918,0.1886,0.1724,-
0.216,12,28,UNF,2B,12-28 UNF 2B,.216-28 UNF 2B,-,-,0.2160,-,0.1970,0.1928,0.1860,0.1770
0.216,12,28,UNF,3A,12-28 UNF 3A,.216-28 UNF 3A,0,0.2160,0.2095,-,0.1928,0.1904,0.1734,-
0.216,12,28,UNF,3B,12-28 UNF 3B,.216-28 UNF 3B,-,-,0.2160,-,0.1959,0.1928,0.1857,0.1770
0.216,12,32,UNEF,2A,12-32 UNEF 2A,.216-32 UNEF 2A,0.0009,0.2151,0.2091,-,0.1948,0.1917,0.1779,-
0.216,12,32,UNEF,2B,12-32 UNEF 2B,.216-32 UNEF 2B,-,-,0.2160,-,0.1998,0.1957,0.1900,0.1820
0.216,12,32,UNEF,3A,12-32 UNEF 3A,.216-32 UNEF 3A,0,0.2160,0.2100,-,0.1957,0.1933,0.1788,-
0.216,12,32,UNEF,3B,12-32 UNEF 3B,.216-32 UNEF 3B,-,-,0.2160,-,0.1988,0.1957,0.1895,0.1820
0.216,12,36,UNS,2A,12-36 UNS 2A,.216-36 UNS 2A,0.0009,0.2151,0.2096,-,0.1971,0.1941,0.1821,-
0.216,12,36,UNS,2B,12-36 UNS 2B,.216-36 UNS 2B,-,-,0.2160,-,0.2019,0.1980,0.1920,0.1860
0.216,12,40,UNS,2A,12-40 UNS 2A,.216-40 UNS 2A,0.0009,0.2151,0.2100,-,0.1989,0.1960,0.1835,-
0.216,12,40,UNS,2B,12-40 UNS 2B,.216-40 UNS 2B,-,-,0.2160,-,0.2035,0.1998,0.1950,0.1890
0.216,12,48,UNS,2A,12-48 UNS 2A,.216-48 UNS 2A,0.0008,0.2152,0.2107,-,0.2017,0.1991,0.1904,-
0.216,12,48,UNS,2B,12-48 UNS 2B,.216-48 UNS 2B,-,-,0.2160,-,0.2059,0.2025,0.1980,0.1930
0.216,12,56,UNS,2A,12-56 UNS 2A,.216-56 UNS 2A,0.0007,0.2153,0.2112,-,0.2037,0.2012,0.1941,-
0.216,12,56,UNS,2B,12-56 UNS 2B,.216-56 UNS 2B,-,-,0.2160,-,0.2076,0.2044,0.2010,0.1970
0.250,1/4,20,UNC,1A,1/4-20 UNC 1A,.250-20 UNC 1A,0.0011,0.2489,0.2367,-,0.2164,0.2108,0.1894,-
0.250,1/4,20,UNC,1B,1/4-20 UNC 1B,.250-20 UNC 1B,-,-,0.2500,-,0.2248,0.2175,0.2070,0.1960
0.250,1/4,20,UNC,2A,1/4-20 UNC 2A,.250-20 UNC 2A,0.0011,0.2489,0.2408,0.2367,0.2164,0.2127,0.1894,-
0.250,1/4,20,UNC,2B,1/4-20 UNC 2B,.250-20 UNC 2B,-,-,0.2500,-,0.2224,0.2175,0.2070,0.1960
0.250,1/4,20,UNC,3A,1/4-20 UNC 3A,.250-20 UNC 3A,0,0.2500,0.2419,-,0.2175,0.2147,0.1905,-
0.250,1/4,20,UNC,3B,1/4-20 UNC 3B,.250-20 UNC 3B,-,-,0.2500,-,0.2211,0.2175,0.2067,0.1960
0.250,1/4,24,UNS,2A,1/4-24 UNS 2A,.250-24 UNS 2A,0.0011,0.2489,0.2417,-,0.2218,0.2181,0.1993,-
0.250,1/4,24,UNS,2B,1/4-24 UNS 2B,.250-24 UNS 2B,-,-,0.2500,-,0.2277,0.2229,0.2150,0.2050
0.250,1/4,27,UNS,2A,1/4-27 UNS 2A,.250-27 UNS 2A,0.001,0.2490,0.2423,-,0.2249,0.2214,0.2049,-
0.250,1/4,27,UNS,2B,1/4-27 UNS 2B,.250-27 UNS 2B,-,-,0.2500,-,0.2304,0.2259,0.2190,0.2100
0.250,1/4,28,UNF,1A,1/4-28 UNF 1A,.250-28 UNF 1A,0.001,0.2490,0.2392,-,0.2258,0.2208,0.2064,-
0.250,1/4,28,UNF,1B,1/4-28 UNF 1B,.250-28 UNF 1B,-,-,0.2500,-,0.2333,0.2268,0.2200,0.2110
0.250,1/4,28,UNF,2A,1/4-28 UNF 2A,.250-28 UNF 2A,0.001,0.2490,0.2425,-,0.2258,0.2225,0.2064,-
0.250,1/4,28,UNF,2B,1/4-28 UNF 2B,.250-28 UNF 2B,-,-,0.2500,-,0.2311,0.2268,0.2200,0.2110
0.250,1/4,28,UNF,3A,1/4-28 UNF 3A,.250-28 UNF 3A,0,0.2500,0.2435,-,0.2268,0.2243,0.2074,-
0.250,1/4,28,UNF,3B,1/4-28 UNF 3B,.250-28 UNF 3B,-,-,0.2500,-,0.2300,0.2268,0.2190,0.2110
0.250,1/4,32,UNEF,2A,1/4-32 UNEF 2A,.250-32 UNEF 2A,0.001,0.2490,0.2430,-,0.2287,0.2255,0.2118,-
0.250,1/4,32,UNEF,2B,1/4-32 UNEF 2B,.250-32 UNEF 2B,-,-,0.2500,-,0.2339,0.2297,0.2240,0.2160
0.250,1/4,32,UNEF,3A,1/4-32 UNEF 3A,.250-32 UNEF 3A,0,0.2500,0.2440,-,0.2297,0.2273,0.2128,-
0.250,1/4,32,UNEF,3B,1/4-32 UNEF 3B,.250-32 UNEF 3B,-,-,0.2500,-,0.2328,0.2297,0.2229,0.2160
0.250,1/4,36,UNS,2A,1/4-36 UNS 2A,.250-36 UNS 2A,0.0009,0.2491,0.2436,-,0.2311,0.2280,0.2161,-
0.250,1/4,36,UNS,2B,1/4-36 UNS 2B,.250-36 UNS 2B,-,-,0.2500,-,0.2360,0.2320,0.2260,0.2200
0.250,1/4,40,UNS,2A,1/4-40 UNS 2A,.250-40 UNS 2A,0.0009,0.2491,0.2440,-,0.2329,0.2300,0.2193,-
0.250,1/4,40,UNS,2B,1/4-40 UNS 2B,.250-40 UNS 2B,-,-,0.2500,-,0.2376,0.2338,0.2290,0.2230
0.250,1/4,48,UNS,2A,1/4-48 UNS 2A,.250-48 UNS 2A,0.0008,0.2492,0.2447,-,0.2357,0.2330,0.2243,-
0.250,1/4,48,UNS,2B,1/4-48 UNS 2B,.250-48 UNS 2B,-,-,0.2500,-,0.2401,0.2365,0.2320,0.2270
0.250,1/4,56,UNS,2A,1/4-56 UNS 2A,.250-56 UNS 2A,0.0008,0.2492,0.2451,-,0.2376,0.2350,0.2280,-
0.250,1/4,56,UNS,2B,1/4-56 UNS 2B,.250-56 UNS 2B,-,-,0.2500,-,0.2417,0.2384,0.2350,0.2310
0.313,5/16,18,UNC,1A,5/16-18 UNC 1A,.313-18 UNC 1A,0.0012,0.3113,0.2982,-,0.2752,0.2691,0.2452,-
0.313,5/16,18,UNC,1B,5/16-18 UNC 1B,.313-18 UNC 1B,-,-,0.3125,-,0.2843,0.2764,0.2650,0.2520
0.313,5/16,18,UNC,2A,5/16-18 UNC 2A,.313-18 UNC 2A,0.0012,0.3113,0.3026,0.2982,0.2752,0.2712,0.2452,-
0.313,5/16,18,UNC,2B,5/16-18 UNC 2B,.313-18 UNC 2B,-,-,0.3125,-,0.2817,0.2764,0.2650,0.2520
0.313,5/16,18,UNC,3A,5/16-18 UNC 3A,.313-18 UNC 3A,0,0.3125,0.3038,-,0.2764,0.2734,0.2464,-
0.313,5/16,18,UNC,3B,5/16-18 UNC 3B,.313-18 UNC 3B,-,-,0.3125,-,0.2803,0.2764,0.2630,0.2520
0.313,5/16,20,UN,2A,5/16-20 UN 2A,.313-20 UN 2A,0.0012,0.3113,0.3032,-,0.2788,0.2748,0.2518,-
0.313,5/16,20,UN,2B,5/16-20 UN 2B,.313-20 UN 2B,-,-,0.3125,-,0.2852,0.2800,0.2700,0.2580
0.313,5/16,20,UN,3A,5/16-20 UN 3A,.313-20 UN 3A,0,0.3125,0.3044,-,0.2800,0.2770,0.2530,-
0.313,5/16,20,UN,3B,5/16-20 UN 3B,.313-20 UN 3B,-,-,0.3125,-,0.2839,0.2800,0.2680,0.2580
0.313,5/16,24,UNF,1A,5/16-24 UNF 1A,.313-24 UNF 1A,0.0011,0.3114,0.3006,-,0.2843,0.2788,0.2618,-
0.313,5/16,24,UNF,1B,5/16-24 UNF 1B,.313-24 UNF 1B,-,-,0.3125,-,0.2925,0.2854,0.2770,0.2670
0.313,5/16,24,UNF,2A,5/16-24 UNF 2A,.313-24 UNF 2A,0.0011,0.3114,0.3042,-,0.2843,0.2806,0.2618,-
0.313,5/16,24,UNF,2B,5/16-24 UNF 2B,.313-24 UNF 2B,-,-,0.3125,-,0.2902,0.2854,0.2770,0.2670
0.313,5/16,24,UNF,3A,5/16-24 UNF 3A,.313-24 UNF 3A,0,0.3125,0.3053,-,0.2854,0.2827,0.2629,-
0.313,5/16,24,UNF,3B,5/16-24 UNF 3B,.313-24 UNF 3B,-,-,0.3125,-,0.2890,0.2854,0.2754,0.2670
0.313,5/16,27,UNS,2A,5/16-27 UNS 2A,.313-27 UNS 2A,0.001,0.3115,0.3048,-,0.2874,0.2839,0.2674,-
0.313,5/16,27,UNS,2B,5/16-27 UNS 2B,.313-27 UNS 2B,-,-,0.3125,-,0.2929,0.2884,0.2810,0.2720
0.313,5/16,28,UN,2A,5/16-28 UN 2A,.313-28 UN 2A,0.001,0.3115,0.3050,-,0.2883,0.2849,0.2689,-
0.313,5/16,28,UN,2B,5/16-28 UN 2B,.313-28 UN 2B,-,-,0.3125,-,0.2937,0.2893,0.2820,0.2740
0.313,5/16,28,UN,3A,5/16-28 UN 3A,.313-28 UN 3A,0,0.3125,0.3060,-,0.2893,0.2867,0.2699,-
0.313,5/16,28,UN,3B,5/16-28 UN 3B,.313-28 UN 3B,-,-,0.3125,-,0.2926,0.2893,0.2807,0.2740
0.313,5/16,32,UNEF,2A,5/16-32 UNEF 2A,.313-32 UNEF 2A,0.001,0.3115,0.3055,-,0.2912,0.2880,0.2743,-
0.313,5/16,32,UNEF,2B,5/16-32 UNEF 2B,.313-32 UNEF 2B,-,-,0.3125,-,0.2964,0.2922,0.2860,0.2790
0.313,5/16,32,UNEF,3A,5/16-32 UNEF 3A,.313-32 UNEF 3A,0,0.3125,0.3065,-,0.2922,0.2898,0.2753,-
0.313,5/16,32,UNEF,3B,5/16-32 UNEF 3B,.313-32 UNEF 3B,-,-,0.3125,-,0.2953,0.2922,0.2847,0.2790
0.313,5/16,36,UNS,2A,5/16-36 UNS 2A,.313-36 UNS 2A,0.0009,0.3116,0.3061,-,0.2936,0.2905,0.2785,-
0.313,5/16,36,UNS,2B,5/16-36 UNS 2B,.313-36 UNS 2B,-,-,0.3125,-,0.2985,0.2945,0.2890,0.2820
0.313,5/16,40,UNS,2A,5/16-40 UNS 2A,.313-40 UNS 2A,0.0009,0.3116,0.3065,-,0.2954,0.2925,0.2818,-
0.313,5/16,40,UNS,2B,5/16-40 UNS 2B,.313-40 UNS 2B,-,-,0.3125,-,0.3001,0.2963,0.2910,0.2850
0.313,5/16,48,UNS,2A,5/16-48 UNS 2A,.313-48 UNS 2A,0.0008,0.3117,0.3072,-,0.2982,0.2955,0.2869,-
0.313,5/16,48,UNS,2B,5/16-48 UNS 2B,.313-48 UNS 2B,-,-,0.3125,-,0.3026,0.2990,0.2950,0.2900
0.375,3/8,16,UNC,1A,3/8-16 UNC 1A,.375-16 UNC 1A,0.0013,0.3737,0.3595,-,0.3331,0.3266,0.2992,-
0.375,3/8,16,UNC,1B,3/8-16 UNC 1B,.375-16 UNC 1B,-,-,0.3750,-,0.3429,0.3344,0.3210,0.3070
0.375,3/8,16,UNC,2A,3/8-16 UNC 2A,.375-16 UNC 2A,0.0013,0.3737,0.3643,0.3595,0.3331,0.3287,0.2992,-
0.375,3/8,16,UNC,2B,3/8-16 UNC 2B,.375-16 UNC 2B,-,-,0.3750,-,0.3401,0.3344,0.3210,0.3070
0.375,3/8,16,UNC,3A,3/8-16 UNC 3A,.375-16 UNC 3A,0,0.3750,0.3656,-,0.3344,0.3311,0.3005,-
0.375,3/8,16,UNC,3B,3/8-16 UNC 3B,.375-16 UNC 3B,-,-,0.3750,-,0.3387,0.3344,0.3182,0.3070
0.375,3/8,18,UNS,2A,3/8-18 UNS 2A,.375-18 UNS 2A,0.0013,0.3737,0.3650,-,0.3376,0.3333,0.3076,-
0.375,3/8,18,UNS,2B,3/8-18 UNS 2B,.375-18 UNS 2B,-,-,0.3750,-,0.3445,0.3389,0.3280,0.3150
0.375,3/8,20,UN,2A,3/8-20 UN 2A,.375-20 UN 2A,0.0012,0.3738,0.3657,-,0.3413,0.3372,0.3143,-
0.375,3/8,20,UN,2B,3/8-20 UN 2B,.375-20 UN 2B,-,-,0.3750,-,0.3479,0.3425,0.3320,0.3210
0.375,3/8,20,UN,3A,3/8-20 UN 3A,.375-20 UN 3A,0,0.3750,0.3669,-,0.3425,0.3394,0.3155,-
0.375,3/8,20,UN,3B,3/8-20 UN 3B,.375-20 UN 3B,-,-,0.3750,-,0.3465,0.3425,0.3297,0.3210
0.375,3/8,24,UNF,1A,3/8-24 UNF 1A,.375-24 UNF 1A,0.0011,0.3739,0.3631,-,0.3468,0.3411,0.3243,-
0.375,3/8,24,UNF,1B,3/8-24 UNF 1B,.375-24 UNF 1B,-,-,0.3750,-,0.3553,0.3479,0.3400,0.3300
0.375,3/8,24,UNF,2A,3/8-24 UNF 2A,.375-24 UNF 2A,0.0011,0.3739,0.3667,-,0.3468,0.3430,0.3243,-
0.375,3/8,24,UNF,2B,3/8-24 UNF 2B,.375-24 UNF 2B,-,-,0.3750,-,0.3528,0.3479,0.3400,0.3300
0.375,3/8,24,UNF,3A,3/8-24 UNF 3A,.375-24 UNF 3A,0,0.3750,0.3678,-,0.3479,0.3450,0.3254,-
0.375,3/8,24,UNF,3B,3/8-24 UNF 3B,.375-24 UNF 3B,-,-,0.3750,-,0.3516,0.3479,0.3372,0.3300
0.375,3/8,27,UNS,2A,3/8-27 UNS 2A,.375-27 UNS 2A,0.0011,0.3739,0.3672,-,0.3498,0.3462,0.3298,-
0.375,3/8,27,UNS,2B,3/8-27 UNS 2B,.375-27 UNS 2B,-,-,0.3750,-,0.3556,0.3509,0.3440,0.3350
0.375,3/8,28,UN,2A,3/8-28 UN 2A,.375-28 UN 2A,0.0011,0.3739,0.3674,-,0.3507,0.3471,0.3313,-
0.375,3/8,28,UN,2B,3/8-28 UN 2B,.375-28 UN 2B,-,-,0.3750,-,0.3564,0.3518,0.3450,0.3360
0.375,3/8,28,UN,3A,3/8-28 UN 3A,.375-28 UN 3A,0,0.3750,0.3685,-,0.3518,0.3491,0.3324,-
0.375,3/8,28,UN,3B,3/8-28 UN 3B,.375-28 UN 3B,-,-,0.3750,-,0.3553,0.3518,0.3426,0.3360
0.375,3/8,32,UNEF,2A,3/8-32 UNEF 2A,.375-32 UNEF 2A,0.001,0.3740,0.3680,-,0.3537,0.3503,0.3368,-
0.375,3/8,32,UNEF,2B,3/8-32 UNEF 2B,.375-32 UNEF 2B,-,-,0.3750,-,0.3591,0.3547,0.3490,0.3410
0.375,3/8,32,UNEF,3A,3/8-32 UNEF 3A,.375-32 UNEF 3A,0,0.3750,0.3690,-,0.3547,0.3522,0.3378,-
0.375,3/8,32,UNEF,3B,3/8-32 UNEF 3B,.375-32 UNEF 3B,-,-,0.3750,-,0.3580,0.3547,0.3469,0.3410
0.375,3/8,36,UNS,2A,3/8-36 UNS 2A,.375-36 UNS 2A,0.001,0.3740,0.3685,-,0.3560,0.3528,0.3409,-
0.375,3/8,36,UNS,2B,3/8-36 UNS 2B,.375-36 UNS 2B,-,-,0.3750,-,0.3612,0.3570,0.3520,0.3450
0.375,3/8,40,UNS,2A,3/8-40 UNS 2A,.375-40 UNS 2A,0.0009,0.3741,0.3690,-,0.3579,0.3548,0.3443,-
0.375,3/8,40,UNS,2B,3/8-40 UNS 2B,.375-40 UNS 2B,-,-,0.3750,-,0.3628,0.3588,0.3540,0.3480
0.390,0.390,27,UNS,2A,0.390-27 UNS 2A,.390-27 UNS 2A,0.0011,0.3889,0.3822,-,0.3648,0.3612,0.3448,-
0.390,0.390,27,UNS,2B,0.390-27 UNS 2B,.390-27 UNS 2B,-,-,0.3900,-,0.3706,0.3659,0.3590,0.3500
0.438,7/16,14,UNC,1A,7/16-14 UNC 1A,.438-14 UNC 1A,0.0014,0.4361,0.4206,-,0.3897,0.3826,0.3511,-
